Review,date_time
The zoom function is quite disappointing.,2024-07-15 07:40:36
The flash is weaker than my old camera.,2024-07-26 04:26:46
Colors aren't as vivid as shown in ads.,2024-08-01 21:47:13
Really disappointed with the low-light performance.,2024-09-01 14:03:01
The auto-focus keeps missing important shots.,2024-09-16 09:46:44
The image quality isn't what I expected at all.,2024-10-07 08:09:53
Memory card compatibility issues are frustrating.,2024-10-13 06:51:51
Battery life is shorter than advertised.,2024-10-14 14:19:17
Expected better quality for this price range.,2024-10-17 21:20:20
The menu system is unnecessarily complicated.,2024-11-05 23:02:10
Feeling let down by the build quality.,2024-11-24 19:17:29
Video quality is surprisingly poor.,2024-12-18 16:43:28
