Review,date_time
Stylish design gets compliments.,2024-08-19 04:56:11
The paint chips off too easily.,2024-08-27 14:06:11
Perfect size for my gym bag.,2024-09-01 20:48:05
Keeps water cold for hours!,2024-09-09 05:36:30
Wish it had a better grip.,2024-09-11 04:43:17
The insulation works amazingly well.,2024-09-28 16:21:13
Great for hot and cold drinks.,2024-10-09 15:15:41
Disappointed by the narrow mouth.,2024-10-25 08:12:37
The lid sometimes leaks.,2024-11-15 08:10:34
Love the durable construction.,2024-11-28 16:18:58
The carrying loop broke quickly.,2024-11-29 14:20:05
