Review,date_time
This vacuum is a complete waste of money.,2024-07-06 20:46:53
Terrible at picking up pet hair.,2024-07-16 20:45:31
The suction power is pathetically weak.,2024-07-24 07:37:08
I regret not buying a different brand.,2024-07-26 22:46:35
Makes an awful screeching noise while running.,2024-08-03 00:57:51
Can't believe how poorly designed this is.,2024-08-07 23:32:03
I hate how heavy and clunky this vacuum is.,2024-09-02 06:23:58
The battery life is embarrassingly short.,2024-09-28 17:08:56
Not worth even half the price.,2024-10-19 19:05:36
The wheels got stuck after a few uses.,2024-10-22 07:32:33
The attachments keep falling off during use.,2024-10-24 10:45:18
The cord is annoyingly short for my needs.,2024-10-26 02:55:05
The handle is uncomfortable to hold.,2024-10-30 14:46:10
Actually works well on hardwood floors.,2024-11-06 10:27:22
The dust container is too small and messy to empty.,2024-11-11 13:43:22
Disappointed by how loud this vacuum cleaner is.,2024-11-16 06:50:01
It's surprisingly good at corner cleaning.,2024-11-22 09:28:44
Leaves debris behind most of the time.,2024-11-26 15:15:39
It broke down after just two months of use.,2024-12-14 19:55:06
Frustrated by how quickly the filter clogs up.,2024-12-28 15:45:15
